	B73-1	B73-2	B73-3	DK105-1	DK105-4	DK105-6	PH207-3	PH207-4	PH207-5	F2-1	F2-2	F2-5
ENSRNA049440843	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049441066	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049441657	2.061139	0	0	0	0	0	1.211488	0	0	0	0	0
ENSRNA049443537	0	10.321281	0	0	0	0	0	17.209816	0	8.090991	7.161847	0
ENSRNA049444172	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049444385	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049444619	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049444705	0	0	0	23.812464	48.891102	36.688914	0	2.579608	0	0	0	0
ENSRNA049446241	7.892707	0	0	0	0	10.811064	3.330794	0	3.272531	0	0	0
ENSRNA049446268	7.892707	0	3.224196	0	0	7.758647	0	0	0	0	0	0
ENSRNA049447196	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049448599	3.914236	0	0	0	0	0	0	0	0	4.10516	0	0
ENSRNA049449221	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049450586	0	0	0	0	0	0	0	3.446159	0	0	0	0
ENSRNA049450950	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049451616	0	0	0	3.944437	1.637087	0	1.817233	0	2.877848	0	0	0
ENSRNA049453565	0	0	2.821933	1.522791	0	0	2.511827	0	0	0	0	0
ENSRNA049453582	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049453644	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049453670	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA049453693	0	0	0	0	0	0	0	0	0	0	0	4.402498
ENSRNA049453717	0	0	0	0	3.460656	0	3.216159	0	3.319546	3.994972	0	0
ENSRNA049453784	2.649259	2.510241	0.78844	0.861778	0	0.972958	0	1.685076	0	0	0.9559	5.26231
ENSRNA049453826	0	0	0	0	0	0	0	0	0	0	0	0
